 "ZEIT[h]" "ZRET  1" "ZRETO  1"
  209.667   140.600   140.600
  209.833   140.600   140.600
  210.000   140.600   140.600
  210.167   140.600   140.600
  210.333   140.600   140.600
  210.500   140.600   140.600
  210.667   140.600   140.600
  210.833   140.600   140.600
  211.000   140.600   140.600
  211.167   140.600   140.600
  211.333   140.600   140.600
  211.500   140.600   140.600
  211.667   140.600   140.600
  211.833   140.600   140.600
  212.000   140.600   140.600
  212.167   140.600   140.600
  212.333   140.600   140.600
  212.500   140.600   140.600
  212.667   140.600   140.600
  212.833   140.600   140.600
  213.000   140.600   140.600
  213.167   140.600   140.600
  213.333   140.600   140.600
  213.500   140.600   140.600
  213.667   140.600   140.600
  213.833   140.600   140.600
  214.000   140.600   140.600
  214.167   140.600   140.600
  214.333   140.600   140.600
  214.500   140.600   140.600
  214.667   140.600   140.600
  214.833   140.600   140.600
  215.000   140.600   140.600
  215.167   140.600   140.600
  215.333   140.600   140.600
  215.500   140.600   140.600
  215.667   140.600   140.600
  215.833   140.600   140.600
